"Qty";"Value";"Device";"Package";"Parts";"Description";"AVAILABILITY";"CHECK_PRICES";"COPYRIGHT";"DATASHEET";"DESCRIPTION";"MANUFACTURER";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PARTREV";"POPULARITY";"PRICE";"REFDES";"SNAPEDA_LINK";"SPICEMODEL";"SPICEPREFIX";"SPICEPREFIXL";"STANDARD";"TP_SIGNAL_NAME";"TYPE";
"1";"NTC";"AK500/2";"AK500/2";"J3";"CONNECTOR";"";"";"";"";"";"";"";"";"";"";"";"unknown";"unknown";"";"";"14";"";"";"";"";"";"";"";"";"";
"1";"PTR1TP15R";"PTR1TP15R";"TP15R";"GND";"TEST PIN";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";
"2";"SN74LV1T34DBVR";"SN74LV1T34DBVR";"DBV0005A_N";"U1, U3";"";"";"";"Copyright (C) 2026 Ultra Librarian. All rights reserved.";"https://www.ti.com/lit/gpn/sn74lv1t34";"Single Power Supply BUFFER Logic Level Shifter (no enable) 5-SOT-23 -40 to 125";"";"Texas Instruments";"SN74LV1T34DBVR";"";"";"";"";"";"";"";"";"";"RefDes";"";"";"";"";"";"";"TYPE";
"1";"SSR_AC_EXE";"AK500/2";"AK500/2";"J11";"CONNECTOR";"";"";"";"";"";"";"";"";"";"";"";"unknown";"unknown";"";"";"14";"";"";"";"";"";"";"";"";"";
"1";"SSR_AC_INT";"AK500/2";"AK500/2";"J9";"CONNECTOR";"";"";"";"";"";"";"";"";"";"";"";"unknown";"unknown";"";"";"14";"";"";"";"";"";"";"";"";"";
"1";"SSR_DC_EXE";"AK500/2";"AK500/2";"J10";"CONNECTOR";"";"";"";"";"";"";"";"";"";"";"";"unknown";"unknown";"";"";"14";"";"";"";"";"";"";"";"";"";
"1";"SSR_DC_INT";"AK500/2";"AK500/2";"J8";"CONNECTOR";"";"";"";"";"";"";"";"";"";"";"";"unknown";"unknown";"";"";"14";"";"";"";"";"";"";"";"";"";
"1";"TEMP_A";"AK500/3";"AK500/3";"J5";"CONNECTOR";"";"";"";"";"";"";"";"";"";"";"";"unknown";"unknown";"";"";"3";"";"";"";"";"";"";"";"";"";
"1";"TEMP_B";"AK500/3";"AK500/3";"J6";"CONNECTOR";"";"";"";"";"";"";"";"";"";"";"";"unknown";"unknown";"";"";"3";"";"";"";"";"";"";"";"";"";
"1";"TEMP_C";"AK500/3";"AK500/3";"J7";"CONNECTOR";"";"";"";"";"";"";"";"";"";"";"";"unknown";"unknown";"";"";"3";"";"";"";"";"";"";"";"";"";
"2";"TPB2,54";"TPB2,54";"B2,54";"+5V, 3V3";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3";"";"";"";"";"";"";"";"";"";
